Time,Patch,WWWW,WWWR,WWWB,WWRR,WWRB,WWBB,WHWW,WHWR,WHWB,WHRR,WHRB,WHBB,HHWW,HHWR,HHWB,HHRR,HHRB,HHBB
191,1,3.45356517699904,0,22.1981893491667,0,0,0,0,0,29.70360016484,0,0,132.234043462253,0.00815598360160085,0,0,0,0,55.4992714852296
192,1,3.40716909260232,0,22.0680945543757,0,0,0,0,0,29.4878599817099,0,0,131.620564305867,0.00734038524144077,0,0,0,0,55.1447600513084
193,1,3.36231846318522,0,21.9397295269805,0,0,0,0,0,29.276134006152,0,0,131.014414614406,0.00660634671729669,0,0,0,0,54.7979818729368
194,1,3.31895017844735,0,21.8131015445903,0,0,0,0,0,29.0683626762673,0,0,130.415449550122,0.00594571204556702,0,0,0,0,54.4586628182134
195,1,3.27700368249938,0,21.6882131975787,0,0,0,0,0,28.8644869878563,0,0,129.823510217688,0.00535114084101032,0,0,0,0,54.1265293282457
196,1,3.23642085478084,0,21.5650624840925,0,0,0,0,0,28.6644477274057,0,0,129.238426072567,0.00481602675690929,0,0,0,0,53.8013098677373
197,1,3.19714592121479,0,21.4436431372434,0,0,0,0,0,28.4681850923099,0,0,128.660018447339,0.00433442408121836,0,0,0,0,53.4827367393468
198,1,3.15912540082005,0,21.3239452161042,0,0,0,0,0,28.2756387337749,0,0,128.088105358507,0.00390098167309652,0,0,0,0,53.1705483277515
199,1,3.12230806475117,0,21.2059557796768,0,0,0,0,0,28.086747982258,0,0,127.522506462796,0.00351088350578687,0,0,0,0,52.8644913187624
200,1,3.08664489581967,0,21.0896595451861,0,0,0,0,0,27.901452122411,0,0,126.963047552612,0.00315979515520818,0,0,0,0,52.5643226513549
201,1,3.05208904275665,0,20.9750394795237,0,0,0,0,0,27.7196906463028,0,0,126.409564286135,0.00284381563968737,0,0,0,0,52.2698110853335
202,1,3.01859576701875,0,20.8620773009696,0,0,0,0,0,27.5414034505838,0,0,125.861905033271,0.00255943407571863,0,0,0,0,51.9807383431873
