Time,Patch,WWWW,WWWR,WWWB,WWRR,WWRB,WWBB,WHWW,WHWR,WHWB,WHRR,WHRB,WHBB,HHWW,HHWR,HHWB,HHRR,HHRB,HHBB
227,1,1.86240767818354,0,14.9628943961452,0,0,0,0,0,20.4658632694471,0,0,106.623753814615,0.000183741257258836,0,0,0,0,43.6956107328444
228,1,1.84788091314513,0,14.8915878081447,0,0,0,0,0,20.3591557435841,0,0,106.157327842301,0.000165367131532953,0,0,0,0,43.482671914154
229,1,1.83372472324963,0,14.8213289588614,0,0,0,0,0,20.2543919206113,0,0,105.696632280342,0.000148830418379657,0,0,0,0,43.2730335049711
230,1,1.81992718007423,0,14.7521016674095,0,0,0,0,0,20.1515228036615,0,0,105.241663153213,0.000133947376541692,0,0,0,0,43.0666589471207
231,1,1.80647685125368,0,14.6838900618675,0,0,0,0,0,20.0505007488281,0,0,104.79241303671,0.000120552638887522,0,0,0,0,42.8635115700863
232,1,1.79336276992395,0,14.6166785748208,0,0,0,0,0,19.9512794917295,0,0,104.348870877341,0.00010849737499877,0,0,0,0,42.663554424182
233,1,1.78057440565487,0,14.5504519310905,0,0,0,0,0,19.8538141566087,0,0,103.911021815773,9.76476374988932e-05,0,0,0,0,42.4667501245977
234,1,1.76810163707077,0,14.4851951304915,0,0,0,0,0,19.7580612518806,0,0,103.478847030335,8.78828737490039e-05,0,0,0,0,42.2730607123478
235,1,1.75593472634451,0,14.4208934283991,0,0,0,0,0,19.6639786560554,0,0,103.052323616172,7.90945863741035e-05,0,0,0,0,42.0824475379776
236,1,1.74406429568283,0,14.3575323163668,0,0,0,0,0,19.5715255973213,0,0,102.631424511824,7.11851277366931e-05,0,0,0,0,41.8948711723082
237,1,1.73248130584223,0,14.2950975043665,0,0,0,0,0,19.4806626292292,0,0,102.216118480133,6.40666149630238e-05,0,0,0,0,41.7102913465244
238,1,1.72117703664123,0,14.2335749055876,0,0,0,0,0,19.3913516041157,0,0,101.806370145837,5.76599534667214e-05,0,0,0,0,41.5286669220402
239,1,1.71014306937817,0,14.1729506242085,0,0,0,0,0,19.3035556452379,0,0,101.402140088383,5.18939581200493e-05,0,0,0,0,41.3499558890241
240,1,1.69937127102397,0,14.113210946173,0,0,0,0,0,19.217239118106,0,0,101.003384985793,4.67045623080444e-05,0,0,0,0,41.1741153913557
241,1,1.68885378003926,0,14.0543423327767,0,0,0,0,0,19.132367601212,0,0,100.610057803733,4.20341060772399e-05,0,0,0,0,41.0011017751052
242,1,1.67858299366117,0,13.9963314167713,0,0,0,0,0,19.0489078562332,0,0,100.222108023362,3.78306954695159e-05,0,0,0,0,40.8308706573777
243,1,1.66855155650729,0,13.93916500065,0,0,0,0,0,18.9668277977319,0,0,99.8394819012384,3.40476259225643e-05,0,0,0,0,40.6633770122707
244,1,1.65875235034854,0,13.8828300567475,0,0,0,0,0,18.8860964623259,0,0,99.4621227545423,3.06428633303079e-05,0,0,0,0,40.4985752706613
245,1,1.64917848490664,0,13.8273137287538,0,0,0,0,0,18.8066839772501,0,0,99.0899712647352,2.75785769972771e-05,0,0,0,0,40.3364194305323
246,1,1.63982328953496,0,13.7726033342029,0,0,0,0,0,18.7285615281626,0,0,98.7229657927775,2.48207192975494e-05,0,0,0,0,40.1768631745363
247,1,1.63068030564427,0,13.7186863674549,0,0,0,0,0,18.6517013259709,0,0,98.3610426989127,2.23386473677945e-05,0,0,0,0,40.0198599914955
248,1,1.62174327973797,0,13.6655505026563,0,0,0,0,0,18.5760765723893,0,0,98.0041366601004,2.0104782631015e-05,0,0,0,0,39.8653632985825
