"Time","WWWWWW","WWWWRW","WWWWBW","WWWWRR","WWWWBR","WWWWBB","CWWWWW","CWWWRW","CWWWBW","CWWWRR","CWWWBR","CWWWBB","WGWWWW","WGWWRW","WGWWBW","WGWWRR","WGWWBR","WGWWBB","CGWWWW","CGWWRW","CGWWBW","CGWWRR","CGWWBR","CGWWBB","CWCWWW","CWCWRW","CWCWBW","CWCWRR","CWCWBR","CWCWBB","CWWGWW","CWWGRW","CWWGBW","CWWGRR","CWWGBR","CWWGBB","CGCWWW","CGCWRW","CGCWBW","CGCWRR","CGCWBR","CGCWBB","WGWGWW","WGWGRW","WGWGBW","WGWGRR","WGWGBR","WGWGBB","CGWGWW","CGWGRW","CGWGBW","CGWGRR","CGWGBR","CGWGBB","CGCGWW","CGCGRW","CGCGBW","CGCGRR","CGCGBR","CGCGBB"
56,99.2465765047271,0,2.74673305131935,0,0,0,6.46070656906365e-05,0,2.74630917302495,0,0,0,6.46070656906365e-05,0,2.74666213370287,0,0,4.51859524851825,0,0,129.532854281664,0,0,14.8931197702864,6.73636820276596e-10,0,9.11525005563521e-06,0,0,0,1.34727364055319e-09,0,1.82378605232073e-05,0,0,0.658285844143355,0,0,0.000129822077585262,0,0,11.0316391803859,6.73636820276596e-10,0,9.12261046757209e-06,0,0,0.329170512502773,0,0,0.000129822077585262,0,0,11.0323538245323,0,0,0,0,0,10.704828446475
57,95.4667436618308,0,3.01181107798129,0,0,0,0.000254079749915825,0,3.01039467532511,0,0,0,0.000254079749915825,0,3.01174180045287,0,0,4.89680058414388,0,0,128.202887644187,0,0,16.0412083389535,5.36711660519196e-09,0,3.68617938279689e-05,0,0,0,1.07342332103839e-08,0,7.37800760792296e-05,0,0,0.766901385677735,0,0,0.000484902801535612,0,0,11.9065261231307,5.36711660519196e-09,0,3.69182822512609e-05,0,0,0.383561496067188,0,0,0.000484902801535612,0,0,11.9091251017858,0,0,0,0,0,11.5354813638966
58,91.8549027704739,0,3.2913620433592,0,0,0,0.000663826299917449,0,3.28812528393584,0,0,0,0.000663826299917449,0,3.29152288519045,0,0,5.29643606507902,0,0,126.635977708166,0,0,17.1745933026319,2.60038732560008e-08,0,9.97592113699438e-05,0,0,0,5.20077465120016e-08,0,0.00019978063567436,0,0,0.889936816480468,0,0,0.00120317341233429,0,0,12.7553836750012,2.60038732560008e-08,0,0.000100021424304416,0,0,0.445263302053969,0,0,0.00120317341233429,0,0,12.7616321748213,0,0,0,0,0,12.3458224692123
59,88.2176819768343,0,3.53738954701327,0,0,0,0.00121589471018161,0,3.53188191857682,0,0,0,0.00121589471018161,0,3.53795243707099,0,0,5.64720028426752,0,0,125.107771392238,0,0,18.320918482022,7.00009950653185e-08,0,0.000187693799954263,0,0,0,1.40001990130637e-07,0,0.000376072194159569,0,0,1.00600587460828,0,0,0.00272362246244385,0,0,13.6592997101154,7.00009950653185e-08,0,0.000188378394205306,0,0,0.50355022190078,0,0,0.00272362246244385,0,0,13.6728417076521,0,0,0,0,0,13.2427593568403
60,84.5973770720326,0,3.75808048508191,0,0,0,0.00200695132334862,0,3.74953956504429,0,0,0,0.00200695132334862,0,3.75928313425416,0,0,5.96225336356548,0,0,123.565321827761,0,0,19.4731030050437,1.77597589840301e-07,0,0.000320306599787234,0,0,0,3.55195179680602e-07,0,0.000642285406076664,0,0,1.11901228886666,0,0,0.0053030585970836,0,0,14.6004811591264,1.77597589840301e-07,0,0.00032197880628943,0,0,0.560424622886709,0,0,0.0053030585970836,0,0,14.6258844089991,0,0,0,0,0,14.2112498133334
61,81.0288013176869,0,3.96063699138753,0,0,0,0.00315111852453508,0,3.94792099328751,0,0,0,0.00315111852453508,0,3.96275853600407,0,0,6.25265401146031,0,0,121.973381195032,0,0,20.6241792847534,4.29571818600571e-07,0,0.0005229514695809,0,0,0,8.59143637201142e-07,0,0.0010497968084928,0,0,1.23239709476319,0,0,0.00920578102423206,0,0,15.5624785092214,4.29571818600571e-07,0,0.000526845338911895,0,0,0.617670523771041,0,0,0.00920578102423206,0,0,15.6051936136413,0,0,0,0,0,15.2357648470167
62,77.5401163008689,0,4.15138046028531,0,0,0,0.0047786328509397,0,4.13290347521122,0,0,0,0.0047786328509397,0,4.15471000301465,0,0,6.5275830060125,0,0,120.310189491689,0,0,21.7674503694756,9.72463657257845e-07,0,0.000827107411902346,0,0,0,1.94492731451569e-06,0,0.00166272873052113,0,0,1.34915248407606,0,0,0.0146885433088622,0,0,16.530282534115,9.72463657257845e-07,0,0.000835621318618784,0,0,0.676860990610917,0,0,0.0146885433088622,0,0,16.5965506176522,0,0,0,0,0,16.3003477605217
63,74.152937488399,0,4.33575037190975,0,0,0,0.00703390598784997,0,4.30942403569375,0,0,0,0.00703390598784997,0,4.34054977882383,0,0,6.79439243299634,0,0,118.562342371504,0,0,22.8959685760587,2.05151062505014e-06,0,0.0012705151632955,0,0,0,4.10302125010026e-06,0,0.00255843668720182,0,0,1.47178750750277,0,0,0.021986818663743,0,0,17.4898826358133,2.05151062505014e-06,0,0.00128792152390632,0,0,0.739340580159448,0,0,0.021986818663743,0,0,17.586597484833,0,0,0,0,0,17.3882980067071
64,70.8838394717853,0,4.5184640729312,0,0,0,0.010073752804997,0,4.48164647576829,0,0,0,0.010073752804997,0,4.5249267033262,0,0,7.05889204797668,0,0,116.723557048677,0,0,24.002868451053,4.05129069490899e-06,0,0.00189710653364126,0,0,0,8.10258138981798e-06,0,0.00382761332813221,0,0,1.60235353880092,0,0,0.0313045372549333,0,0,18.4284941597805,4.05129069490899e-06,0,0.00193050679449095,0,0,0.80623696340881,0,0,0.0313045372549333,0,0,18.5630333658269,0,0,0,0,0,18.4826434696454
65,67.7445702656225,0,4.70348537886866,0,0,0,0.0140664986240866,0,4.65287772545068,0,0,0,0.0140664986240866,0,4.71173438069265,0,0,7.32557344197829,0,0,114.790847053462,0,0,25.0818493081263,7.54753609971593e-06,0,0.00275726356623077,0,0,0,1.50950721994319e-05,0,0.00557527828364634,0,0,1.74249266824109,0,0,0.0428139585827317,0,0,19.334825357365,7.54753609971593e-06,0,0.00281801471741558,0,0,0.878498743121201,0,0,0.0428139585827317,0,0,19.5151953845999,0,0,0,0,0,19.568021307807
